l    time_i    C(l)    Tau_i     Delta_n
402    66.176314    0    0.232884    0.002247
403    66.409198    1    0.193738    0.002386
404    66.602936    0    0.067505    0.000648
405    66.670441    1    0.228232    0.002791
406    66.898673    0    0.046438    0.000444
407    66.945111    1    0.196252    0.002384
408    67.141363    0    0.057936    0.000552
409    67.199299    1    0.168005    0.002028
410    67.367304    0    0.287595    0.002726
411    67.654899    1    0.257123    0.003075
412    67.912022    0    0.200446    0.001883
413    68.112468    1    0.104592    0.001241
414    68.21706    0    0.146308    0.001366
415    68.363368    1    0.145462    0.001717
416    68.50883    2    0.704696    0.006495
417    69.213526    1    0.139034    0.001836
418    69.35256    0    0.058031    0.000529
419    69.410591    1    0.260676    0.003029
420    69.671267    2    0.321222    0.002905
421    69.992489    3    0.257338    0.003352
422    70.249827    2    0.046954    0.000658
423    70.296781    3    0.122875    0.001591
424    70.419656    4    0.102847    0.001435
425    70.522503    3    0.160506    0.002247
426    70.683009    2    0.182632    0.002532
427    70.865641    3    0.112446    0.001443
428    70.978087    2    0.113534    0.001565
429    71.091621    1    0.126007    0.001609
430    71.217628    0    0.211063    0.001881
431    71.428691    1    0.120949    0.001371
432    71.54964    0    0.050668    0.000449
433    71.600308    1    0.101707    0.001149
434    71.702015    0    0.161218    0.001425
435    71.863233    1    0.235306    0.002642
436    72.098539    0    0.045509    0.000401
437    72.144048    1    0.251507    0.002802
438    72.395555    2    0.24651    0.002158
439    72.642065    1    0.259009    0.003232
440    72.901074    0    0.076945    0.000669
441    72.978019    1    0.262587    0.002888
442    73.240606    0    0.048135    0.000417
443    73.288741    1    0.185124    0.002023
444    73.473865    2    0.905696    0.007747
445    74.379561    1    0.067875    0.000829
446    74.447436    0    0.294621    0.002478
447    74.742057    1    0.200996    0.002156
448    74.943053    0    0.08014    0.00067
449    75.023193    1    0.086336    0.000922
450    75.109529    2    0.669655    0.005542
451    75.779184    3    0.213401    0.002553
452    75.992585    4    0.170847    0.002198
